timestamp,country,product_type,input_tokens,output_tokens,total_tokens
2025-07-22 14:05:01,australia,knitted t-shirt T-Shirts,15346,917,16263
2025-07-22 14:05:06,australia,knitted crop top Crop Tops,9330,1374,10704
2025-07-22 14:05:07,australia,knitted t-shirt Short Sleeves,14977,2056,17033
2025-07-22 14:05:07,australia,woven pants Pants,14302,2214,16516
2025-07-22 14:05:08,australia,knitted tights Tights,15340,2346,17686
2025-07-22 14:05:08,australia,knitted tank Short Sleeves,14985,2386,17371
2025-07-22 14:05:14,australia,knitted t-shirt T-Shirts,15356,2032,17388
2025-07-22 15:01:30,australia,knitted t-shirt T-Shirts,15346,917,16263
2025-07-22 15:01:35,australia,knitted crop top Crop Tops,9330,1448,10778
2025-07-22 15:01:35,australia,knitted t-shirt Short Sleeves,14977,2056,17033
2025-07-22 15:01:36,australia,knitted crop top Crop Tops,9330,1374,10704
2025-07-22 15:01:37,australia,woven pants Pants,14302,2258,16560
2025-07-22 15:01:38,australia,knitted tights Tights,15340,2425,17765
2025-07-22 15:01:41,australia,knitted tank Short Sleeves,14985,3066,18051
2025-07-22 15:01:41,australia,knitted t-shirt T-Shirts,15356,2032,17388
2025-07-22 15:01:41,australia,woven pants Pants,14296,2261,16557
2025-07-22 15:01:45,australia,woven jacket Winter Jackets,14316,2282,16598
2025-07-22 15:54:04,australia,knitted t-shirt T-Shirts,15346,917,16263
2025-07-22 15:54:09,australia,knitted t-shirt Short Sleeves,14977,2056,17033
2025-07-22 15:54:10,australia,woven pants Pants,14302,2214,16516
2025-07-22 15:54:12,australia,knitted tank Short Sleeves,14985,2386,17371
2025-07-22 15:54:13,australia,knitted tights Tights,15340,2346,17686
2025-07-22 15:54:23,australia,woven pants Pants,14296,2261,16557
2025-07-22 15:55:25,australia,,15358,2429,17787
2025-07-22 16:00:16,australia,,15342,2332,17674
2025-07-22 16:01:09,australia,,14318,918,15236
2025-07-22 16:02:22,australia,,9332,1145,10477
2025-07-22 16:02:44,australia,,9332,1738,11070
2025-07-22 16:04:01,australia,,9441,687,10128
2025-07-23 10:01:53,united states,knitted pants Pants,55682,2220,57902
2025-07-23 10:01:53,united states,tights Tights,55216,2368,57584
2025-07-23 10:01:54,united states,knitted sweatshirt Sweatshirts,55250,2371,57621
2025-07-23 10:01:55,united states,knitted t-shirt T-Shirts,55222,2566,57788
2025-07-23 10:01:57,united states,bra Bras,25632,2171,27803
2025-07-23 10:01:58,united states,bra Bras,25651,2068,27719
2025-07-23 10:02:01,united states,knitted tights half Tights,55355,1877,57232
2025-07-23 10:02:02,united states,knitted tights Tights,55581,2228,57809
2025-07-23 10:02:04,united states,bra Bras,25345,2387,27732
2025-07-23 10:02:14,united states,bra Bras,25626,3966,29592
2025-07-23 10:09:38,norway,knitted tank Tanks,42277,2309,44586
2025-07-23 10:09:38,norway,knitted t-shirt T-Shirts,42461,2450,44911
2025-07-23 10:09:46,norway,knitted t-shirt Short Sleeves,42241,2314,44555
2025-07-23 10:09:49,norway,knitted crop top Crop Tops,33049,2001,35050
2025-07-23 10:10:09,norway,knitted t-shirt Short Sleeves,42275,2229,44504
2025-07-23 10:12:09,norway,,42124,2040,44164
2025-07-23 10:12:46,norway,,32932,2030,34962
2025-07-23 10:14:33,united states,knitted sweatshirt Sweatshirts,55250,2371,57621
2025-07-23 10:14:33,united states,tights Tights,55216,2368,57584
2025-07-23 10:14:33,united states,knitted t-shirt T-Shirts,55222,2566,57788
2025-07-23 10:14:34,united states,bra Bras,25651,1826,27477
2025-07-23 10:14:36,united states,knitted pants Pants,55682,2220,57902
2025-07-23 10:14:36,united states,bra Bras,25632,2171,27803
2025-07-23 10:14:38,united states,knitted tights half Tights,55355,1877,57232
2025-07-23 10:14:39,united states,knitted tights Tights,55581,2228,57809
2025-07-23 10:14:39,united states,bra Bras,25345,2387,27732
2025-07-23 10:14:47,united states,bra Bras,25626,3966,29592
2025-07-23 10:22:40,united states,,25315,1624,26939
2025-07-23 10:22:56,united states,,25315,1606,26921
2025-07-23 10:23:21,united states,,25596,1575,27171
