division,product_type,material_type,tariff_country_code,tariff_country_description,tariff_code,customs_description,material_composition
Men,T-Shirts,Knitted,DIST,Distributor countries,610910,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,JPN,Japan,610910010,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,CAN,Canada,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,BRA,Brazil,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,CHE,Switzerland,61091000-000,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,KOR,South Korea,6109101000,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,CHN,China,6109100000,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,NZL,New Zealand,6109100200L,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,HKG,Hong Kong,61091010,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,AUS,Australia,6109100005,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,GBR,United Kingdom,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,EU,Europe,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,NOR,Norway,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,USA,United States,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL"
Men,T-Shirts,Knitted,BRA,Brazil,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,NZL,New Zealand,6109100200L,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,NOR,Norway,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,HKG,Hong Kong,61091010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,GBR,United Kingdom,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,JPN,Japan,610910010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,DIST,Distributor countries,610910,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,EU,Europe,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,CAN,Canada,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,CHE,Switzerland,61091000-000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,KOR,South Korea,6109101000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,CHN,China,6109100000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,AUS,Australia,6109100005,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,USA,United States,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,DIST,Distributor countries,610910,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,NOR,Norway,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CAN,Canada,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,BRA,Brazil,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,JPN,Japan,610910010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,HKG,Hong Kong,61091010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
