,item_code,tariff_country_code,tariff_country_description,tariff_code,customs_description,material_composition,Department,Division,Product Group,Product Type,style_number,style_name,development_name,style_update,Composition for Label,Material Group,Material Type,Main Material,Inseam Length (cm),Construction,Composition,Secondary Material,Composition.1,Garment Weight Without Packaging,Sales Color Name,option_version
0,1MD10480462,CHE,Switzerland,62113300-000,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
1,1MD10480462,CHN,China,6211339000,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
2,1MD10480462,NZL,New Zealand,6211330200K,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
3,1MD10480462,USA,United States,6211339054,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
4,1MD10480462,BRA,Brazil,62113300,,,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
5,1MD10480462,AUS,Australia,6211339004,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
6,1MD10480462,JPN,Japan,621133200,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
7,1MD10480462,GBR,United Kingdom,6211339000,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
8,1MD10480462,CAN,Canada,6201409021,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
9,1MD10480462,HKG,Hong Kong,62113390,Woven Vest,100% Polyamide (Recycled Nylon) - rPA,Apparel,Men,Outerwear,Jackets,1MD1048,Weather Vest,Weather Vest M,CO - Carry Over,"Main Fabric
Polyamide (recycled) 100%
Back Lining
Padding
Polyester (recycled) 100%",Textile,Woven,TX00423  | PRC1003-NFC-DWR,0.0,Ripstop,100% Polyamide (Recycled Nylon) - rPA,TX01780  | RT2106156-PU,"82% Polyester (Mechanical Recycled) - rPES, 18% Elastane - EL",76,White | Black,2024SP
