idx,input_country,input_product,input_material,input_construction,input_gender,product_description,suggested_hs_code_1,certainty_1_percent,actual_hs_code_from_dataset,selected_hs_code,certainty (%),status,selected_reasoning,timestamp
50,CANADA,woven shorts Shorts,"92% Polyester - PES, 8% Elastane (Spandex) - EL",Woven,Men,"Product for CANADA: Men's woven shorts Shorts Material: 92% Polyester - PES, 8% Elastane (Spandex) - EL. Construction: Woven.",6203.43.00.20,90,6203430020,6203.43.00.20,90,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes and, mutatis mutandis, to the above Rules.', 'Historical Data Consideration': 'The historical data shows similar products classified under 6203430020, which is a strong indicator. This option is considered.', 'Chapter & Section Fit': 'Chapter 62 applies to ""Articles of apparel and clothing accessories, not knitted or crocheted"". The product is described as ""woven,"" confirming its inclusion in Chapter 62.', 'Heading & Subheading Determination': 'Heading 62.03 covers ""Men\'s or boys\' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).""\n    Subheading 6203.4 covers ""Trousers, bib and brace overalls, breeches and shorts"".\n    Subheading 6203.43 covers ""Of synthetic fibres"". The shorts are 92% Polyester, a synthetic fibre, making this subheading appropriate.', 'National Tariff Line Determination': 'The tariff item 6203.43.00 is the 8-digit Canadian code.\n    The full code 6203.43.00.20 includes a statistical suffix of ‘20’ which corresponds to ""Shorts"" within this tariff item.', 'Exclusions & Verifications': 'Chapter 61 is excluded because the shorts are woven, not knitted or crocheted.\n    The proposed code is not in `Previously Rejected HS Codes`.\n    The code exists VERBATIMin `OFFICIAL CHAPTER CONTENT`.'}",2025-06-30 14:44:38
51,CANADA,hoodie Sweatshirts,"68% Cotton (Organic) - CO, 20% Polyester - PES, 12% Polyester (Mechanical Recycled) - rPES",Knit,Men,"Product for CANADA: Men's hoodie Sweatshirts Material: 68% Cotton (Organic) - CO, 20% Polyester - PES, 12% Polyester (Mechanical Recycled) - rPES. Construction: Knit.",6110.20.00.91,75,6110200091,6110.20.00.91,75,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.\n    GRI 3(b): The garment is made of a mixture of materials, and is classified by the material that gives it its essential character, which in this case is cotton (68%).\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes.', 'Historical Data Consideration': ""The historical data includes a similar product with HS Code 6110200011. This code is for a men's knitted hoodie sweatshirt with the same material composition. However, this code is not present verbatim in the official chapter content. Therefore, it can only serve as a guide."", 'Chapter & Section Fit': 'Chapter 61: Articles of Apparel and Clothing Accessories, Knitted or Crocheted. The product is explicitly described as ""knit,"" making this chapter appropriate.\n    Section XI: Textiles and Textile Articles. This section covers textile garments.', 'Heading & Subheading Determination': '61.10: Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. A hoodie sweatshirt is similar to a pullover.\n    6110.20: Of cotton. The garment is predominantly cotton (68%).', 'National Tariff Line Determination': ""6110.20.00: Of cotton\n    6110.20.00.91: - - - - -Men's or boys'"", 'Exclusions & Verifications': 'Chapter 62 is excluded because the garment is knitted, not woven.\n    The proposed code is not in the `Previously Rejected HS Codes` list.\n    The proposed code exists verbatim in the `OFFICIAL CHAPTER CONTENT`.'}",2025-06-30 14:44:38
52,CANADA,hoodie Hoodies & Sweatshirts,"68% Cotton (Organic) - CO, 20% Polyester - PES, 12% Polyester (Mechanical Recycled) - rPES",Knit,Men,"Product for CANADA: Men's hoodie Hoodies & Sweatshirts Material: 68% Cotton (Organic) - CO, 20% Polyester - PES, 12% Polyester (Mechanical Recycled) - rPES. Construction: Knit.",6110.20.00.91,75,6110200091,6110.20.00.91,75,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.\n    GRI 3(b): Since the hoodie is made of a mixture of materials, it is classified by the material that gives it its essential character, which in this case is cotton due to its highest percentage (68%).\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes.', 'Historical Data Consideration': 'The historical data shows a similar product classified under 6110200011. This suggests that heading 6110 and the ""Of cotton"" subheading are relevant. However, the exact suffix is not applicable, requiring further investigation of the current documentation.', 'Chapter & Section Fit': 'Chapter 61 applies to knitted or crocheted articles of apparel. The product is described as a knitted hoodie, making Chapter 61 appropriate.', 'Heading & Subheading Determination': 'Heading 61.10 covers ""Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted."" A hoodie is similar to a pullover or cardigan.\n    Subheading 6110.20 is for ""Of cotton"". Since cotton is the predominant material (68%), this subheading is appropriate.', 'National Tariff Line Determination': 'The available statistical suffixes under 6110.20.00 are:\n        11- - - - -Brushed or fleeced: Men\'s or boys\'\n        12- - - - - Brushed or fleeced: Women\'s or girls\'\n        21- - - - -Other, containing spandex (elasthane): Men\'s or boys\'\n        22- - - - -Other, containing spandex (elasthane): Women\'s or girls\'\n        91- - - - - -Other: Men\'s or boys\'\n        92- - - - - -Other: Women\'s or girls\'\n    The hoodie is not described as brushed or fleeced, nor does it contain elastane. Therefore, the ""Other"" options are considered.\n    Since the product is for men, the suffix "".91"" is selected.', 'Exclusions & Verifications': 'Chapter 62 is excluded because the product is knitted, not woven.\n    The proposed code is not in the `Previously Rejected HS Codes` list.\n    The code adheres to all critical rules.'}",2025-06-30 14:44:38
53,CANADA,knitted pants Pants,"68% Cotton, 20% Polyester, 12% Polyester",Knit,Men,"Product for CANADA: Men's knitted pants Pants Material: 68% Cotton, 20% Polyester, 12% Polyester. Construction: Knit.",6103.42.00.10,90,6103420010,6103.42.00.10,90,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.\n    GRI 3(b): Since the pants are made of a mixture of materials, they are classified as if consisting of the material that gives them their essential character, which is cotton (68%).\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes.', 'Historical Data Consideration': ""The historical data shows a similar product (men's knitted pants with a high percentage of cotton) classified under 6103.42.00.10, which increases confidence in this classification."", 'Chapter & Section Fit': 'Chapter 61 applies to knitted or crocheted articles of apparel. The product is described as knitted pants, fitting within this chapter.', 'Heading & Subheading Determination': 'Heading 61.03 covers ""Men\'s or boys\' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.""\n    Subheading 6103.42 is for ""Trousers, bib and brace overalls, breeches and shorts: - - Of cotton"".', 'National Tariff Line Determination': 'The statistical suffix is determined as follows:\n    6103.42.00 is the 8-digit code for ""Of cotton"".\n    6103.42.00.10 is specified for ""Men\'s"" trousers.', 'Exclusions & Verifications': 'Chapter 62 is excluded because the product is knitted, not woven.\n    The proposed code is not in the `Previously Rejected HS Codes` list.\n    The code adheres to all critical rules, including the 10-digit length requirement.'}",2025-06-30 14:44:38
54,CANADA,knitted t-shirt T-Shirts,100% Cotton (Organic) - CO,Knit,Men,Product for CANADA: Men's knitted t-shirt T-Shirts Material: 100% Cotton (Organic) - CO. Construction: Knit.,6109.10.00.12,95,6109100012,6109.10.00.12,95,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes and, mutatis mutandis, to the above Rules.', 'Historical Data Consideration': ""The historical data shows a similar product (Men's Knitted T-Shirt, 100% Cotton) classified under 6109.10.00.12. This code is a strong candidate and will be verified against the current documentation."", 'Chapter & Section Fit': 'Chapter 61 applies to knitted or crocheted articles of apparel. The product is a knitted t-shirt, fitting within this chapter.', 'Heading & Subheading Determination': 'Heading 61.09 is designated for ""T-shirts, singlets and other vests, knitted or crocheted."" This accurately describes the product.\n    Subheading 6109.10 is for articles ""Of cotton"". Since the t-shirt is 100% cotton, this subheading is appropriate.', 'National Tariff Line Determination': 'The tariff item 6109.10.00 is the 8-digit Canadian code for T-shirts of cotton.\n    The full code 6109.10.00.12 includes a statistical suffix of ‘12’. Within the tariff item for cotton T-shirts, the Canadian Customs Tariff provides two options for men\'s or boys\' T-shirts:\n        11: For a specific type of all-white T-shirt.\n        12: For ""---Other T-shirts"".\n    As the product does not meet the narrow description for suffix \'11\', it correctly falls under the \'12\' statistical suffix.', 'Exclusions & Verifications': 'Chapter 62 is excluded because the product is knitted, not woven.\n    The proposed code 6109.10.00.12 is not in the `Previously Rejected HS Codes for this Item` list.\n    The code and suffix exist verbatimin the `OFFICIAL CHAPTER CONTENT`.'}",2025-06-30 14:44:38
50,CANADA,woven shorts Shorts,"92% Polyester - PES, 8% Elastane (Spandex) - EL",Woven,Men,"Product for CANADA: Men's woven shorts Shorts Material: 92% Polyester - PES, 8% Elastane (Spandex) - EL. Construction: Woven.",6203.43.00.20,90,6203430020,6203.43.00.20,90,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes and, mutatis mutandis, to the above Rules.', 'Historical Data Consideration': 'The historical data shows similar products classified under 6203430020, which is a strong indicator. This option is considered.', 'Chapter & Section Fit': 'Chapter 62 applies to ""Articles of apparel and clothing accessories, not knitted or crocheted"". The product is described as ""woven,"" confirming its inclusion in Chapter 62.', 'Heading & Subheading Determination': 'Heading 62.03 covers ""Men\'s or boys\' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).""\n    Subheading 6203.4 covers ""Trousers, bib and brace overalls, breeches and shorts"".\n    Subheading 6203.43 covers ""Of synthetic fibres"". The shorts are 92% Polyester, a synthetic fibre, making this subheading appropriate.', 'National Tariff Line Determination': 'The tariff item 6203.43.00 is the 8-digit Canadian code.\n    The full code 6203.43.00.20 includes a statistical suffix of ‘20’ which corresponds to ""Shorts"" within this tariff item.', 'Exclusions & Verifications': 'Chapter 61 is excluded because the shorts are woven, not knitted or crocheted.\n    The proposed code is not in `Previously Rejected HS Codes`.\n    The code exists VERBATIMin `OFFICIAL CHAPTER CONTENT`.'}",2025-06-30 15:18:39
51,CANADA,hoodie Sweatshirts,"68% Cotton (Organic) - CO, 20% Polyester - PES, 12% Polyester (Mechanical Recycled) - rPES",Knit,Men,"Product for CANADA: Men's hoodie Sweatshirts Material: 68% Cotton (Organic) - CO, 20% Polyester - PES, 12% Polyester (Mechanical Recycled) - rPES. Construction: Knit.",6110.20.00.91,75,6110200091,6110.20.00.91,75,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.\n    GRI 3(b): The garment is made of a mixture of materials, and is classified by the material that gives it its essential character, which in this case is cotton (68%).\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes.', 'Historical Data Consideration': ""The historical data includes a similar product with HS Code 6110200011. This code is for a men's knitted hoodie sweatshirt with the same material composition. However, this code is not present verbatim in the official chapter content. Therefore, it can only serve as a guide."", 'Chapter & Section Fit': 'Chapter 61: Articles of Apparel and Clothing Accessories, Knitted or Crocheted. The product is explicitly described as ""knit,"" making this chapter appropriate.\n    Section XI: Textiles and Textile Articles. This section covers textile garments.', 'Heading & Subheading Determination': '61.10: Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. A hoodie sweatshirt is similar to a pullover.\n    6110.20: Of cotton. The garment is predominantly cotton (68%).', 'National Tariff Line Determination': ""6110.20.00: Of cotton\n    6110.20.00.91: - - - - -Men's or boys'"", 'Exclusions & Verifications': 'Chapter 62 is excluded because the garment is knitted, not woven.\n    The proposed code is not in the `Previously Rejected HS Codes` list.\n    The proposed code exists verbatim in the `OFFICIAL CHAPTER CONTENT`.'}",2025-06-30 15:18:39
52,CANADA,hoodie Hoodies & Sweatshirts,"68% Cotton (Organic) - CO, 20% Polyester - PES, 12% Polyester (Mechanical Recycled) - rPES",Knit,Men,"Product for CANADA: Men's hoodie Hoodies & Sweatshirts Material: 68% Cotton (Organic) - CO, 20% Polyester - PES, 12% Polyester (Mechanical Recycled) - rPES. Construction: Knit.",6110.20.00.91,75,6110200091,6110.20.00.91,75,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.\n    GRI 3(b): Since the hoodie is made of a mixture of materials, it is classified by the material that gives it its essential character, which in this case is cotton due to its highest percentage (68%).\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes.', 'Historical Data Consideration': 'The historical data shows a similar product classified under 6110200011. This suggests that heading 6110 and the ""Of cotton"" subheading are relevant. However, the exact suffix is not applicable, requiring further investigation of the current documentation.', 'Chapter & Section Fit': 'Chapter 61 applies to knitted or crocheted articles of apparel. The product is described as a knitted hoodie, making Chapter 61 appropriate.', 'Heading & Subheading Determination': 'Heading 61.10 covers ""Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted."" A hoodie is similar to a pullover or cardigan.\n    Subheading 6110.20 is for ""Of cotton"". Since cotton is the predominant material (68%), this subheading is appropriate.', 'National Tariff Line Determination': 'The available statistical suffixes under 6110.20.00 are:\n        11- - - - -Brushed or fleeced: Men\'s or boys\'\n        12- - - - - Brushed or fleeced: Women\'s or girls\'\n        21- - - - -Other, containing spandex (elasthane): Men\'s or boys\'\n        22- - - - -Other, containing spandex (elasthane): Women\'s or girls\'\n        91- - - - - -Other: Men\'s or boys\'\n        92- - - - - -Other: Women\'s or girls\'\n    The hoodie is not described as brushed or fleeced, nor does it contain elastane. Therefore, the ""Other"" options are considered.\n    Since the product is for men, the suffix "".91"" is selected.', 'Exclusions & Verifications': 'Chapter 62 is excluded because the product is knitted, not woven.\n    The proposed code is not in the `Previously Rejected HS Codes` list.\n    The code adheres to all critical rules.'}",2025-06-30 15:18:39
53,CANADA,knitted pants Pants,"68% Cotton, 20% Polyester, 12% Polyester",Knit,Men,"Product for CANADA: Men's knitted pants Pants Material: 68% Cotton, 20% Polyester, 12% Polyester. Construction: Knit.",6103.42.00.10,90,6103420010,6103.42.00.10,90,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.\n    GRI 3(b): Since the pants are made of a mixture of materials, they are classified as if consisting of the material that gives them their essential character, which is cotton (68%).\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes.', 'Historical Data Consideration': ""The historical data shows a similar product (men's knitted pants with a high percentage of cotton) classified under 6103.42.00.10, which increases confidence in this classification."", 'Chapter & Section Fit': 'Chapter 61 applies to knitted or crocheted articles of apparel. The product is described as knitted pants, fitting within this chapter.', 'Heading & Subheading Determination': 'Heading 61.03 covers ""Men\'s or boys\' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.""\n    Subheading 6103.42 is for ""Trousers, bib and brace overalls, breeches and shorts: - - Of cotton"".', 'National Tariff Line Determination': 'The statistical suffix is determined as follows:\n    6103.42.00 is the 8-digit code for ""Of cotton"".\n    6103.42.00.10 is specified for ""Men\'s"" trousers.', 'Exclusions & Verifications': 'Chapter 62 is excluded because the product is knitted, not woven.\n    The proposed code is not in the `Previously Rejected HS Codes` list.\n    The code adheres to all critical rules, including the 10-digit length requirement.'}",2025-06-30 15:18:39
54,CANADA,knitted t-shirt T-Shirts,100% Cotton (Organic) - CO,Knit,Men,Product for CANADA: Men's knitted t-shirt T-Shirts Material: 100% Cotton (Organic) - CO. Construction: Knit.,6109.10.00.12,95,6109100012,6109.10.00.12,95,Selected Option 1,"{'GRI Application': 'GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.\n    GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes and, mutatis mutandis, to the above Rules.', 'Historical Data Consideration': ""The historical data shows a similar product (Men's Knitted T-Shirt, 100% Cotton) classified under 6109.10.00.12. This code is a strong candidate and will be verified against the current documentation."", 'Chapter & Section Fit': 'Chapter 61 applies to knitted or crocheted articles of apparel. The product is a knitted t-shirt, fitting within this chapter.', 'Heading & Subheading Determination': 'Heading 61.09 is designated for ""T-shirts, singlets and other vests, knitted or crocheted."" This accurately describes the product.\n    Subheading 6109.10 is for articles ""Of cotton"". Since the t-shirt is 100% cotton, this subheading is appropriate.', 'National Tariff Line Determination': 'The tariff item 6109.10.00 is the 8-digit Canadian code for T-shirts of cotton.\n    The full code 6109.10.00.12 includes a statistical suffix of ‘12’. Within the tariff item for cotton T-shirts, the Canadian Customs Tariff provides two options for men\'s or boys\' T-shirts:\n        11: For a specific type of all-white T-shirt.\n        12: For ""---Other T-shirts"".\n    As the product does not meet the narrow description for suffix \'11\', it correctly falls under the \'12\' statistical suffix.', 'Exclusions & Verifications': 'Chapter 62 is excluded because the product is knitted, not woven.\n    The proposed code 6109.10.00.12 is not in the `Previously Rejected HS Codes for this Item` list.\n    The code and suffix exist verbatimin the `OFFICIAL CHAPTER CONTENT`.'}",2025-06-30 15:18:39
